id	url	name	name	street_address	locality	region	postal_code	acres	counties	adopted_2017_standards_&_practices	number_of_board_members	number_of_full_time_staff	number_of_supporters	number_of_volunteers	year_first_joined	features
little-nine-conservancy-inc-nc	https://findalandtrust.org/land-trusts/explore/little-nine-conservancy-inc-nc	Little Nine Conservancy, Inc.	Little Nine Conservancy, Inc.	115 W Pennsylvania Ave	Southern Pines	NC	28387-5447	0	Moore	Yes					2019	
forest-park-conservancy-or	https://findalandtrust.org/land-trusts/explore/forest-park-conservancy-or	Forest Park Conservancy	Forest Park Conservancy	833 SW 11th Ave Ste 800	Portland	OR	97205-2122	6,343	Multnomah	Yes	12	1	1,600	1,600	2019	Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
seabrook-island-green-space-conservancy-sc	https://findalandtrust.org/land-trusts/explore/seabrook-island-green-space-conservancy-sc	Seabrook Island Green Space Conservancy						0	Charleston	Yes					2021	
tule-basin-land-and-water-conservation-trust-ca	https://findalandtrust.org/land-trusts/explore/tule-basin-land-and-water-conservation-trust-ca	Tule Basin Land and Water Conservation Trust	Tule Basin Land and Water Conservation Trust	3746 W. Mineral King Ave	Visalia	CA	93291-5530	0	Tulare	Yes					2020	
san-marcos-river-foundation-tx	https://findalandtrust.org/land-trusts/explore/san-marcos-river-foundation-tx	San Marcos River Foundation	San Marcos River Foundation	PO Box 1393	San Marcos	TX	78667-1393	465	Hays	Yes	9	1	320	75	2017	Volunteer Opportunities|Agricultural Land|Wildlife Habitat
greenbelt-land-trust-or	https://findalandtrust.org/land-trusts/explore/greenbelt-land-trust-or	Greenbelt Land Trust	Greenbelt Land Trust	101 SW Western Blvd Ste 111	Corvallis	OR	97333-4460	3,698	Benton, Linn, Marion, Polk	Yes	11	6	900	50	1989	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
gunks-climbers-coalition-ny	https://findalandtrust.org/land-trusts/explore/gunks-climbers-coalition-ny	Gunks Climbers Coalition	Gunks Climbers Coalition	PO Box 325	Gardiner	NY	12525-0325	0	Ulster	Yes					2021	
finger-lakes-land-trust-ny	https://findalandtrust.org/land-trusts/explore/finger-lakes-land-trust-ny	Finger Lakes Land Trust	Finger Lakes Land Trust	202 E Court St	Ithaca	NY	14850-4204	25,233	Cayuga, Chemung, Cortland, Livingston, Onondaga, Ontario, Schuyler, Seneca, Steuben, Tioga, Tompkins, Yates	Yes	17	15	2,904	200	1989	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
serpentine-art-and-nature-commons-inc-ny	https://findalandtrust.org/land-trusts/explore/serpentine-art-and-nature-commons-inc-ny	Serpentine Art and Nature Commons, Inc.	Serpentine Art and Nature Commons, Inc.	PO Box 040252 Stapleton Station	Staten Island	NY	10304-0252	12	Albany, Allegany, Bronx, Broome, Cattaraugus, Cayuga, Chautauqua, Chemung, Chenango, Clinton, Columbia, Cortland, Delaware, Dutchess, Erie, Essex, Franklin, Fulton, Genesee, Greene, Hamilton, Herkimer, Jefferson, Kings, Lewis, Livingston, Madison, Monroe, Montgomery, Nassau, New York, Niagara, Oneida, Onondaga, Ontario, Orange, Orleans, Oswego, Otsego, Putnam, Queens, Rensselaer, Richmond, Rockland, St. Lawrence, Saratoga, Schenectady, Schoharie, Schuyler, Seneca, Steuben, Suffolk, Sullivan, Tioga, Tompkins, Ulster, Warren, Washington, Wayne, Westchester, Wyoming, Yates	Yes	14		41	1	1991	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
the-shawangunk-conservancy-ny	https://findalandtrust.org/land-trusts/explore/the-shawangunk-conservancy-ny	The Shawangunk Conservancy	The Shawangunk Conservancy	PO Box 270	Accord	NY	12404-0270	20	Orange, Sullivan, Ulster	Yes			500	10	1990	Volunteer Opportunities
metacomet-land-trust-ma	https://findalandtrust.org/land-trusts/explore/metacomet-land-trust-ma	Metacomet Land Trust	Metacomet Land Trust	PO Box 231	Franklin	MA	02038-0231	1,857	Norfolk, Worcester	Yes	12		100	10	1989	Public Access|Volunteer Opportunities
vermont-family-forests-foundation-inc-vt	https://findalandtrust.org/land-trusts/explore/vermont-family-forests-foundation-inc-vt	Vermont Family Forests Foundation, Inc.						0	Addison	Yes					2016	
living-river-restoration-trust-va	https://findalandtrust.org/land-trusts/explore/living-river-restoration-trust-va	Living River Restoration Trust	Living River Restoration Trust	5205 Colley Avenue	Norfolk	VA	23508-2043	630	Hampton, Newport News, Norfolk, Portsmouth	Yes		1			2017	
conservation-foundation-of-america-oh	https://findalandtrust.org/land-trusts/explore/conservation-foundation-of-america-oh	Conservation Foundation of America	Conservation Foundation of America	PO Box 23	Canal Winchester	OH	43110-0023	0	Franklin	Yes		2	4		2015	
save-barton-creek-association-tx	https://findalandtrust.org/land-trusts/explore/save-barton-creek-association-tx	Save Barton Creek Association						72	Travis	Yes					2016	
7-lakes-alliance-me	https://findalandtrust.org/land-trusts/explore/7-lakes-alliance-me	7 Lakes Alliance	7 Lakes Alliance	PO Box 250	Belgrade Lakes	ME	04918-0250	9,707	Franklin, Kennebec, Somerset	Yes	20	7	432	85	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
five-rivers-conservation-trust-nh	https://findalandtrust.org/land-trusts/explore/five-rivers-conservation-trust-nh	Five Rivers Conservation Trust	Five Rivers Conservation Trust	10 Ferry St #311A	Concord	NH	03301-5081	5,330	Merrimack	Yes	12	3	550	70	1990	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
skyview-acres-land-trust-ny	https://findalandtrust.org/land-trusts/explore/skyview-acres-land-trust-ny	Skyview Acres Land Trust	Skyview Acres Land Trust	1 Dogwood Place	Pomona	NY	10970-3321	54	Rockland	Yes					2015	
queen-creek-coalition-az	https://findalandtrust.org/land-trusts/explore/queen-creek-coalition-az	Queen Creek Coalition						100	Pinal	Yes	7		1		2015	Trails
working-lands-trust-nc	https://findalandtrust.org/land-trusts/explore/working-lands-trust-nc	Working Lands Trust	Working Lands Trust	1600 Glenwood Ave Ste 1	Raleigh	NC	27608-2356	0	Wake	Yes					2016	
sanctuary-forest-ca	https://findalandtrust.org/land-trusts/explore/sanctuary-forest-ca	Sanctuary Forest	Sanctuary Forest	PO Box 166	Whitethorn	CA	95589-0166	15,493	Humboldt, Mendocino	Yes	11	7	496	30	1995	Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
northeastern-cave-conservancy-inc-ny	https://findalandtrust.org/land-trusts/explore/northeastern-cave-conservancy-inc-ny	Northeastern Cave Conservancy, Inc.	Northeastern Cave Conservancy, Inc.	PO Box 254	Schoharie	NY	12157-0254	0	Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham	Yes	13		180	20	2016	Volunteer Opportunities
national-farmers-trust-al	https://findalandtrust.org/land-trusts/explore/national-farmers-trust-al	National Farmers Trust	National Farmers Trust	9 Office Park Cir Ste 101	Birmingham	AL	35223-2501	3,103	Jefferson	Yes					2016	
fund-for-roosevelt-nj	https://findalandtrust.org/land-trusts/explore/fund-for-roosevelt-nj	Fund for Roosevelt	Fund for Roosevelt	PO Box 404	Roosevelt	NJ	08555-0404	271	Monmouth	Yes					2015	
north-coast-land-conservancy-or	https://findalandtrust.org/land-trusts/explore/north-coast-land-conservancy-or	North Coast Land Conservancy	North Coast Land Conservancy	PO Box 67	Seaside	OR	97138-0067	5,232	Clatsop, Lincoln, Tillamook	Yes	10	7	923	140	1992	Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
southwest-michigan-land-conservancy-mi	https://findalandtrust.org/land-trusts/explore/southwest-michigan-land-conservancy-mi	Southwest Michigan Land Conservancy	Southwest Michigan Land Conservancy	8395 E Main St	Galesburg	MI	49053-9745	17,793	Allegan, Barry, Berrien, Branch, Calhoun, Cass, Kalamazoo, St. Joseph, Van Buren	Yes	15	8	1,200	200	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
illinois-climbers-association-il	https://findalandtrust.org/land-trusts/explore/illinois-climbers-association-il	Illinois Climbers Association						0	Union	Yes					2016	
society-for-the-protection-of-new-hampshire-forests-nh	https://findalandtrust.org/land-trusts/explore/society-for-the-protection-of-new-hampshire-forests-nh	Society for the Protection of New Hampshire Forests	Society for the Protection of New Hampshire Forests	54 Portsmouth St	Concord	NH	03301-5486	482,139	Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan	Yes	20	37	6,895	250	1984	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
kachemak-heritage-land-trust-ak	https://findalandtrust.org/land-trusts/explore/kachemak-heritage-land-trust-ak	Kachemak Heritage Land Trust	Kachemak Heritage Land Trust	315 Klondike Ave	Homer	AK	99603-7630	31,796	Kenai Peninsula	Yes	9	5	400	40	1989	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
alachua-conservation-trust-fl	https://findalandtrust.org/land-trusts/explore/alachua-conservation-trust-fl	Alachua Conservation Trust	Alachua Conservation Trust	7204 SE County Road 234	Gainesville	FL	32641-1608	63,320	Alachua, Bradford, Clay, Columbia, Dixie, Gilchrist, Levy, Marion, Putnam, Sumter, Suwannee, Union	Yes	15	11	550	32	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
sustainable-iowa-land-trust-ia	https://findalandtrust.org/land-trusts/explore/sustainable-iowa-land-trust-ia	Sustainable Iowa Land Trust	Sustainable Iowa Land Trust	PO Box 306	West Branch	IA	52358-0306	1,118	Adair, Adams, Allamakee, Appanoose, Audubon, Benton, Black Hawk, Boone, Bremer, Buchanan, Buena Vista, Butler, Calhoun, Carroll, Cass, Cedar, Cerro Gordo, Cherokee, Chickasaw, Clarke, Clay, Clayton, Clinton, Crawford, Dallas, Davis, Decatur, Delaware, Des Moines, Dickinson, Dubuque, Emmet, Fayette, Floyd, Franklin, Fremont, Greene, Grundy, Guthrie, Hamilton, Hancock, Hardin, Harrison, Henry, Howard, Humboldt, Ida, Iowa, Jackson, Jasper, Jefferson, Johnson, Jones, Keokuk, Kossuth, Lee, Linn, Louisa, Lucas, Lyon, Madison, Mahaska, Marion, Marshall, Mills, Mitchell, Monona, Monroe, Montgomery, Muscatine, O'Brien, Osceola, Page, Palo Alto, Plymouth, Pocahontas, Polk, Pottawattamie, Poweshiek, Ringgold, Sac, Scott, Shelby, Sioux, Story, Tama, Taylor, Union, Van Buren, Wapello, Warren, Washington, Wayne, Webster, Winnebago, Winneshiek, Woodbury, Worth, Wright	Yes	15	3	865	5	2015	Volunteer Opportunities|Agricultural Land
the-kennebec-land-trust-me	https://findalandtrust.org/land-trusts/explore/the-kennebec-land-trust-me	The Kennebec Land Trust	The Kennebec Land Trust	PO Box 261	Winthrop	ME	04364-0261	6,929	Androscoggin, Franklin, Kennebec	Yes	18	4	1,100	80	1990	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
northeast-new-hanover-conservancy-nc	https://findalandtrust.org/land-trusts/explore/northeast-new-hanover-conservancy-nc	Northeast New Hanover Conservancy	Northeast New Hanover Conservancy	1513 Futch Creek Road	Wilmington	NC	28411-9375	1,504	New Hanover	Yes	9		70		1990	Public Access
palos-verdes-peninsula-land-conservancy-ca	https://findalandtrust.org/land-trusts/explore/palos-verdes-peninsula-land-conservancy-ca	Palos Verdes Peninsula Land Conservancy	Palos Verdes Peninsula Land Conservancy	PO Box 3427	Palos Verdes Peninsula	CA	90274-9427	1,382	Los Angeles	Yes	15	15	1,200	850	1991	Public Access|Volunteer Opportunities
saco-valley-land-trust-me	https://findalandtrust.org/land-trusts/explore/saco-valley-land-trust-me	Saco Valley Land Trust	Saco Valley Land Trust	PO Box 1581	Saco	ME	04072-7581	1,216	York	Yes	4		40	6	2006	Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
west-virginia-agricultural-land-protection-authority-wv	https://findalandtrust.org/land-trusts/explore/west-virginia-agricultural-land-protection-authority-wv	West Virginia Agricultural Land Protection Authority	West Virginia Agricultural Land Protection Authority	484 Williamsport Pike	Martinsburg	WV	25404-5707	0	Berkeley	Yes					2014	
groton-conservation-trust-ma	https://findalandtrust.org/land-trusts/explore/groton-conservation-trust-ma	Groton Conservation Trust	Groton Conservation Trust	PO Box 395	Groton	MA	01450-0395	1,786	Middlesex	Yes	15	1	250	20	1999	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
newfound-lake-region-association-nh	https://findalandtrust.org/land-trusts/explore/newfound-lake-region-association-nh	Newfound Lake Region Association	Newfound Lake Region Association	10 North Main St Unit 1	Bristol	NH	03222-3512	408	Grafton	Yes					2014	
charlotte-land-trust-vt	https://findalandtrust.org/land-trusts/explore/charlotte-land-trust-vt	Charlotte Land Trust	Charlotte Land Trust	PO Box 43	Charlotte	VT	05445-0043	575	Chittenden	Yes	12		125		2002	Agricultural Land|Forests|Wildlife Habitat
iowa-natural-heritage-foundation-ia	https://findalandtrust.org/land-trusts/explore/iowa-natural-heritage-foundation-ia	Iowa Natural Heritage Foundation	Iowa Natural Heritage Foundation	505 5th Ave Ste 444 Insurance Exchange Building	Des Moines	IA	50309-2321	195,660	Adair, Adams, Allamakee, Appanoose, Audubon, Benton, Black Hawk, Boone, Bremer, Buchanan, Buena Vista, Butler, Calhoun, Carroll, Cass, Cedar, Cerro Gordo, Cherokee, Chickasaw, Clarke, Clay, Clayton, Clinton, Crawford, Dallas, Davis, Decatur, Delaware, Des Moines, Dickinson, Dubuque, Emmet, Fayette, Floyd, Franklin, Fremont, Greene, Grundy, Guthrie, Hamilton, Hancock, Hardin, Harrison, Henry, Howard, Humboldt, Ida, Iowa, Jackson, Jasper, Jefferson, Johnson, Jones, Keokuk, Kossuth, Lee, Linn, Louisa, Lucas, Lyon, Madison, Mahaska, Marion, Marshall, Mills, Mitchell, Monona, Monroe, Montgomery, Muscatine, O'Brien, Osceola, Page, Palo Alto, Plymouth, Pocahontas, Polk, Pottawattamie, Poweshiek, Ringgold, Sac, Scott, Shelby, Sioux, Story, Tama, Taylor, Union, Van Buren, Wapello, Warren, Washington, Wayne, Webster, Winnebago, Winneshiek, Woodbury, Worth, Wright	Yes	34	27	7,000	200	1982	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
casey-trees-save-our-soil-dc	https://findalandtrust.org/land-trusts/explore/casey-trees-save-our-soil-dc	Casey Trees, Save Our Soil	Casey Trees, Save Our Soil	3030 12th St NE	Washington	DC	20017-2408	0	District of Columbia	Yes					2014	
colorado-river-land-trust-tx	https://findalandtrust.org/land-trusts/explore/colorado-river-land-trust-tx	Colorado River Land Trust	Colorado River Land Trust	PO Box 1157	Dripping Springs	TX	78620-1157	6,387	Travis	Yes	9	3	250	25	2013	Public Access|Agricultural Land|Forests|Wildlife Habitat
grassland-bird-trust-ny	https://findalandtrust.org/land-trusts/explore/grassland-bird-trust-ny	Grassland Bird Trust	Grassland Bird Trust	PO Box 82	Fort Edward	NY	12828-0082	258	Washington	Yes		1	1,300		2012	
merrill-w-linn-land-waterways-conservancy-pa	https://findalandtrust.org/land-trusts/explore/merrill-w-linn-land-waterways-conservancy-pa	Merrill W. Linn Land & Waterways Conservancy	Merrill W. Linn Land & Waterways Conservancy	PO Box 501	Lewisburg	PA	17837-0501	1,805	Lycoming, Northumberland, Snyder, Union	Yes	15		350	50	1988	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
southeast-land-preservation-trust-ga	https://findalandtrust.org/land-trusts/explore/southeast-land-preservation-trust-ga	Southeast Land Preservation Trust	Southeast Land Preservation Trust	143 Mobile Ave	Atlanta	GA	30305-4355	1,374	Fulton	Yes	8				2003	
jefferson-land-trust-wa	https://findalandtrust.org/land-trusts/explore/jefferson-land-trust-wa	Jefferson Land Trust	Jefferson Land Trust	1033 Lawrence St	Port Townsend	WA	98368-6523	17,542	Jefferson	Yes	12	8	739	250	2000	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
berlin-land-trust-ct	https://findalandtrust.org/land-trusts/explore/berlin-land-trust-ct	Berlin Land Trust	Berlin Land Trust	PO Box 94	Berlin	CT	06037-0094	3,430	Hartford, Middlesex	Yes	11		100	2	2003	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
harwich-conservation-trust-ma	https://findalandtrust.org/land-trusts/explore/harwich-conservation-trust-ma	Harwich Conservation Trust	Harwich Conservation Trust	PO Box 101	South Harwich	MA	02661-0101	407	Barnstable	Yes	10	1	1,155	60	1992	Volunteer Opportunities
bang-land-trust-ny	https://findalandtrust.org/land-trusts/explore/bang-land-trust-ny	BANG Land Trust	BANG Land Trust	143 E 8th St	Brooklyn	NY	11218-2618	0	Kings	Yes					2012	
heartland-conservation-alliance-mo	https://findalandtrust.org/land-trusts/explore/heartland-conservation-alliance-mo	Heartland Conservation Alliance	Heartland Conservation Alliance	6601 E. 93rd Street	Kansas City	MO	64138-3724	0	Johnson	Yes	15	3	175	150	2014	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
urban-ecosystem-restorations-inc-md	https://findalandtrust.org/land-trusts/explore/urban-ecosystem-restorations-inc-md	Urban Ecosystem Restorations, Inc.	Urban Ecosystem Restorations, Inc.	6106 Harvard Ave #213	Glen Echo	MD	20812-7504	0	Baltimore, Montgomery, Prince George's, Baltimore city	Yes	9		32	3	2014	Volunteer Opportunities
yolo-land-trust-ca	https://findalandtrust.org/land-trusts/explore/yolo-land-trust-ca	Yolo Land Trust	Yolo Land Trust	PO Box 1196	Woodland	CA	95776-1196	12,910	Yolo	Yes	11	1	200	6	1997	Volunteer Opportunities
u-s-land-conservancy-la	https://findalandtrust.org/land-trusts/explore/u-s-land-conservancy-la	U.S. Land Conservancy	U.S. Land Conservancy	5710 N Shore Dr Suite 104-373	Baton Rouge	LA	70817-3951	0	Acadia, Allen, Ascension, Assumption, Avoyelles, Beauregard, Bienville, Bossier, Caddo, Calcasieu, Caldwell, Cameron, Catahoula, Claiborne, Concordia, De Soto, East Baton Rouge, East Carroll, East Feliciana, Evangeline, Franklin, Grant, Iberia, Iberville, Jackson, Jefferson, Jefferson Davis, Lafayette, Lafourche, La Salle, Lincoln, Livingston, Madison, Morehouse, Natchitoches, Orleans, Ouachita, Plaquemines, Pointe Coupee, Rapides, Red River, Richland, Sabine, St. Bernard, St. Charles, St. Helena, St. James, St. John the Baptist, St. Landry, St. Martin, St. Mary, St. Tammany, Tangipahoa, Tensas, Terrebonne, Union, Vermilion, Vernon, Washington, Webster, West Baton Rouge, West Carroll, West Feliciana, Winn	Yes		3			2014	
wilbarger-creek-conservation-alliance-tx	https://findalandtrust.org/land-trusts/explore/wilbarger-creek-conservation-alliance-tx	Wilbarger Creek Conservation Alliance	Wilbarger Creek Conservation Alliance	2503 Flora Cove	Austin	TX	78746-6902	1,646	Bastrop, Travis	Yes		1			2014	
rensselaer-plateau-alliance-inc-ny	https://findalandtrust.org/land-trusts/explore/rensselaer-plateau-alliance-inc-ny	Rensselaer Plateau Alliance, Inc.	Rensselaer Plateau Alliance, Inc.	PO Box 790	Averill Park	NY	12018-0790	12,358	Rensselaer	Yes	16	3	680	65	2012	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
mitigation-futures-conservancy-tx	https://findalandtrust.org/land-trusts/explore/mitigation-futures-conservancy-tx	Mitigation Futures Conservancy	Mitigation Futures Conservancy	610 Elm St # 300	McKinney	TX	75069-6701	150	Anderson, Andrews, Angelina, Aransas, Archer, Armstrong, Atascosa, Austin, Bailey, Bandera, Bastrop, Baylor, Bee, Bell, Bexar, Blanco, Borden, Bosque, Bowie, Brazoria, Brazos, Brewster, Briscoe, Brooks, Brown, Burleson, Burnet, Caldwell, Calhoun, Callahan, Cameron, Camp, Carson, Cass, Castro, Chambers, Cherokee, Childress, Clay, Cochran, Coke, Coleman, Collin, Collingsworth, Colorado, Comal, Comanche, Concho, Cooke, Coryell, Cottle, Crane, Crockett, Crosby, Culberson, Dallam, Dallas, Dawson, Deaf Smith, Delta, Denton, De Witt, Dickens, Dimmit, Donley, Duval, Eastland, Ector, Edwards, Ellis, El Paso, Erath, Falls, Fannin, Fayette, Fisher, Floyd, Foard, Fort Bend, Franklin, Freestone, Frio, Gaines, Galveston, Garza, Gillespie, Glasscock, Goliad, Gonzales, Gray, Grayson, Gregg, Grimes, Guadalupe, Hale, Hall, Hamilton, Hansford, Hardeman, Hardin	Yes	3			2	2013	Volunteer Opportunities|Agricultural Land
st-john-land-conservancy-vi	https://findalandtrust.org/land-trusts/explore/st-john-land-conservancy-vi	St. John Land Conservancy	St. John Land Conservancy	9901 Emmaus	St John	VI	00830-9587	5	St John	Yes	6		25	10	2018	Volunteer Opportunities
land-conservancy-of-lake-county-il	https://findalandtrust.org/land-trusts/explore/land-conservancy-of-lake-county-il	Land Conservancy of Lake County	Land Conservancy of Lake County	PO Box 293	Lake Villa	IL	60046-0293	95	Lake	Yes	4		59	167	1991	Volunteer Opportunities
kingston-land-trust-ny	https://findalandtrust.org/land-trusts/explore/kingston-land-trust-ny	Kingston Land Trust	Kingston Land Trust	PO Box 2701	Kingston	NY	12402-2701	13	Ulster	Yes	10	3	65	15	2011	Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
westchester-land-trust-ny	https://findalandtrust.org/land-trusts/explore/westchester-land-trust-ny	Westchester Land Trust	Westchester Land Trust	403 Harris Road	Bedford Hills	NY	10507-2408	8,856	Nassau, Putnam, Westchester	Yes	18	7	700	100	1990	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
huyck-preserve-and-biological-research-station-ny	https://findalandtrust.org/land-trusts/explore/huyck-preserve-and-biological-research-station-ny	Huyck Preserve and Biological Research Station	Huyck Preserve and Biological Research Station	PO Box 189	Rensselaerville	NY	12147-0189	2,055	Albany	Yes	17	4	300	23	2009	Public Access|Volunteer Opportunities
upper-trinity-conservation-trust-tx	https://findalandtrust.org/land-trusts/explore/upper-trinity-conservation-trust-tx	Upper Trinity Conservation Trust	Upper Trinity Conservation Trust	PO Box 361	Lewisville	TX	75067-0361	0	Denton	Yes					2020	
kumeyaay-diegueno-land-conservancy-ca	https://findalandtrust.org/land-trusts/explore/kumeyaay-diegueno-land-conservancy-ca	Kumeyaay Diegueno Land Conservancy	Kumeyaay Diegueno Land Conservancy	PO BOX 485	Alpine	CA	91903-0485	0	Imperial, San Diego, San Diego	Yes					2012	
the-walthour-moss-foundation-nc	https://findalandtrust.org/land-trusts/explore/the-walthour-moss-foundation-nc	The Walthour-Moss Foundation	The Walthour-Moss Foundation	PO Box 1794	Southern Pines	NC	28388-1794	4,121	Moore	Yes	15	1	225	150	2011	Public Access|Volunteer Opportunities
bear-river-land-conservancy-ut	https://findalandtrust.org/land-trusts/explore/bear-river-land-conservancy-ut	Bear River Land Conservancy	Bear River Land Conservancy	PO Box 4565	Logan	UT	84323-4565	528	Box Elder, Cache, Rich	Yes	8		36	24	2011	Public Access|Volunteer Opportunities
captina-conservancy-oh	https://findalandtrust.org/land-trusts/explore/captina-conservancy-oh	Captina Conservancy	Captina Conservancy	PO Box 318	Barnesville	OH	43713-0318	1,703	Belmont, Monroe	Yes	9	1	68	6	2010	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
wildlands-conservation-inc-fl	https://findalandtrust.org/land-trusts/explore/wildlands-conservation-inc-fl	Wildlands Conservation, Inc.	Wildlands Conservation, Inc.	15310 Amberly Drive Suite 250	Tampa	FL	33647-1642	7,250	Citrus, Highlands, Hillsborough, Lee, Manatee, Pasco, Polk	Yes		6			2019	
central-arizona-land-trust-az	https://findalandtrust.org/land-trusts/explore/central-arizona-land-trust-az	Central Arizona Land Trust	Central Arizona Land Trust	PO Box 1050	Prescott	AZ	86302-1050	4,609	Yavapai	Yes	7		82	2	1990	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Wildlife Habitat
john-muir-land-trust-ca	https://findalandtrust.org/land-trusts/explore/john-muir-land-trust-ca	John Muir Land Trust	John Muir Land Trust	PO Box 31	Martinez	CA	94553-0003	3,634	Contra Costa	Yes	13	7	5,000	500	1995	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
sacred-earth-foundation-wa	https://findalandtrust.org/land-trusts/explore/sacred-earth-foundation-wa	Sacred Earth Foundation	Sacred Earth Foundation	401 Ekone Rd	Goldendale	WA	98620-2825	1,138	Klickitat	Yes	10	2	250	50	1990	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
rensselaer-land-trust-ny	https://findalandtrust.org/land-trusts/explore/rensselaer-land-trust-ny	Rensselaer Land Trust	Rensselaer Land Trust	415 River St	Troy	NY	12180-2834	1,464	Rensselaer	Yes	10		250	150	1989	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
fallbrook-land-conservancy-ca	https://findalandtrust.org/land-trusts/explore/fallbrook-land-conservancy-ca	Fallbrook Land Conservancy	Fallbrook Land Conservancy	1815 S Stagecoach Lane	Fallbrook	CA	92028-4400	3,743	Riverside, San Diego	Yes	13	2	350	150	1988	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Wildlife Habitat
berks-nature-pa	https://findalandtrust.org/land-trusts/explore/berks-nature-pa	Berks Nature	Berks Nature	575 Saint Bernardine St	Reading	PA	19607-1724	10,773	Berks, Lebanon, Schuylkill	Yes	14	9	774	200	1983	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
foundation-for-sustainable-forests-pa	https://findalandtrust.org/land-trusts/explore/foundation-for-sustainable-forests-pa	Foundation for Sustainable Forests	Foundation for Sustainable Forests	22418 Firth Road	Spartansburg	PA	16434-3222	101	Cattaraugus, Chautauqua	Yes	8	1	174	4	2011	Public Access|Volunteer Opportunities|Forests
leelanau-conservancy-mi	https://findalandtrust.org/land-trusts/explore/leelanau-conservancy-mi	Leelanau Conservancy	Leelanau Conservancy	105 N First St	Leland	MI	49654-5000	16,994	Leelanau	Yes	20	3	2,500	250	1988	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
lewisboro-land-trust-ny	https://findalandtrust.org/land-trusts/explore/lewisboro-land-trust-ny	Lewisboro Land Trust	Lewisboro Land Trust	PO Box 496	South Salem	NY	10590-0496	490	Westchester	Yes	6		480	35	2014	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
friends-of-the-bruce-freeman-rail-trail-inc-ma	https://findalandtrust.org/land-trusts/explore/friends-of-the-bruce-freeman-rail-trail-inc-ma	Friends of the Bruce Freeman Rail Trail, Inc.	Friends of the Bruce Freeman Rail Trail, Inc.	PO Box 1192	Concord	MA	01742-1192	0	Middlesex	Yes					2010	
klamath-lake-land-trust-or	https://findalandtrust.org/land-trusts/explore/klamath-lake-land-trust-or	Klamath Lake Land Trust	Klamath Lake Land Trust	PO Box 5142	Klamath Falls	OR	97601-0142	1,454	Klamath, Lake	Yes	9		250	25	2011	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
connecticut-forest-and-park-association-ct	https://findalandtrust.org/land-trusts/explore/connecticut-forest-and-park-association-ct	Connecticut Forest and Park Association	Connecticut Forest and Park Association	16 Meriden Rd	Rockfall	CT	06481-2961	2,150	Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham	Yes	25	7	1,800	268	1990	Public Access|Volunteer Opportunities
